"Breed","n","Percentage"
"Mixed","140","26.5"
"Other breed (n=44)","135","25.5"
"Unknown","75","14.2"
"German Shepherd","42","7.9"
"Pitbull Terrier","34","6.4"
"Rottweiler","30","5.7"
"Jack Russell Terrier","22","4.1"
"Labrador","14","2.6"
"Border Collie","13","2.5"
"Blue Heeler","12","2.3"
"Bull Terrier","12","2.3"
