suburb,incident_date,injuries,offender,victim
Belmont,,Bite Marks,Jac Russel,Dog
Grovedale,2014-07-10,Bite ,Boxers,Boy
St Leonards,2014-07-03,Bite ,"size of ridgeback, boxer face",Girl
Leopold,2014-07-14,Bite ,"notes updated by officer but no description of offending dog, no ID # and no MC",Person
Wallington,2014-07-01,Major Bruising,German Shepherd,Dog
Leopold,2015-07-02,loss of fur,"officer spoken to owner but dog details not updated on RFS, not linked to animal module",Cat
Corio,2015-07-01,"bite marks, loss of teeth",notes updated by officer but no animal link to this RFS,Cat
Belmont,2014-07-29,Puncture Wounds,Tibetan,Dog
Highton,2014-07-16,Puncture Wounds,Staffys,Dog
Corio,2014-07-19,Death,Dog seized and taken to GAWS but no animal link to this RFS,Dog
Corio,2014-07-26,Death,Staffys,Dog
Grovedale,2014-07-17,One of the dogs latched onto his dog and shook it around. It doesnt appear to have any injury,KelpieLab,Dog
Norlane,2014-07-14,,Ridgeback,Dog
North Shore,2014-07-16,Bite ,Jack Russell,Person
Newcomb,2014-06-15,No injuries,notes says dog impounded but no animal link to this RFS,Dog
Highton,16//07,Bite/laceratons,See RFS 946389,Dog
Grovedale,2014-08-02,Bite ,German Shepherd,Person
Norlane,2014-08-27,"killed cat, hand injury to person",Rednose Pitbull,Cat/Person
St Albans Park,2014-08-28,none noted,Staffy X,Dog
Hamlyn Heights,2014-08-26,bite to hand,Husky,Person
Moolap,2014-08-25,small bite to hand and leg,Officers attended site and spoke to dog owner but not details or animal link to this RFS,Dog/Person
Waurn Ponds,2014-08-20,Killed rabbit,Ridgeback,Rabbit
Lara,2014-08-16,"not specified, but was taken to the vet and now on meds",German Shepherd,Dog
Lara,2014-08-15,Killed chickens,Boxer,Chickens
Grovedale,2014-08-02,Bite  ?,German Shepherd,Person
Newtown,2014-09-28,Bite on leg,"No dog registered at this address at the time of incident, two lapsed rego only??",Person
Wallington,2014-09-26,,"Officer took statement from owner but have not added offending dog's detail, no animal linked to this RFS",Dog
Highton,2014-09-24,Ears,"no dogs currently registered at 2/2 Gumtree Ct at the time of incident,there were 2 lapsed rego",Dog
Whittington,2014-09-23,Death,"according to RFS notes dog owner interviewed and dog signed over to Council, no details of offending dog",Cat
BarwonHeads,2014-09-22,Death,Ridgeback/Bull Mastiff,Chickens
Grovedale,2014-09-16,Bite to leg,Cattle dog,Person
Grovedale,2014-09-07,??,"Staffy, Kelpie",Cat
Lara,2014-09-18,Death,RFS not linked to animal,Lambs
Lara,2014-09-02,Death,notes says  Impounding Officer to issue infringement for DAL. No animal linked to this RFS,Cat
Norlane,2014-09-30,Bite on leg,Whippet X,Person
Lara,2014-09-29,no specified,Jack Russell,Dog
Corio,2014-09-22,Death,RFS notes not updated with offending dog's details,Guinea Pigs
Lara,2014-09-11,Death ,notes said infringement issued but no animal linked to this RFS,Chickens
Geelong West,2014-09-27,no injuries,??,Person
Portarlington,2014-09-28,Bite on hand,German Shepherd,Person 
Norlane,2014-10-16,bite on arm,Spitz,Child
Moolap,2014-10-14,Bite ,"Staffordshire/Cross, Rhodesian Ridgeback",Dog
St Albans Park,2014-10-14,Death,Husky,Chickens
Norlane,2014-10-12,Bite on forehead,Shepherd X,Person
Leopold,2014-10-09,Death,Husky,Dog 
Pt Henry,2014-10-06,Scratched,"Great Dane, Boxer",Car
Herne Hill,2014-10-21,death,"Anon Call, no dog sighted",Chickens
Norlane,2014-10-02,Bite,,"Person, dog"
Norlane,2014-10-02,??,"Anon Call, no dog sighted",Dog
Lara,2014-10-17,Death,Labrador/Retriever,Sheep
Belmont,2014-10-09,,dog was apparently given away 2 days after incident,Cat
Clifton Springs,2014-11-08,Bite on arm,Bull Mastiff?,Person
Belmont,2014-11-18,,German Shepherd,Person
Belmont,2014-11-01,,Staffy,Person/Dog
Queens Park,2014-11-03,,??,Person/Dog
Queens Park ,2014-11-03,,??,Person/Dog
Norlane,2014-11-10,Bite on arm,Staffy,Person
Norlane,2014-11-10,Bite on arm,Staffy,Person
Lovely Banks,2014-11-13,Death,??,Dog
Newtown,2014-11-28,Wound,Bull Terrier,Dog
Indented Head,2014-11-25,Bite,??,Dog/Person
Clifton Springs,2014-11-04,Bite ,Doberman,Child
Whittington,2014-12-05,bite,Mal/Shi,Person
Clifton Springs,2014-12-02,bowled over,Rotti,Person
St Albans Park,2014-12-03,,Staffy,Person
Corio,2014-12-04,Bite,Staffy,Dog
Mannerim,2014-12-05,Bite ,unknown where the dog came from,Sheep
Ocean Grove,2014-12-10,Bite,Wolfhound/Cross,Dog
Whittington,2014-12-14,Death,Bull Mastiff,Dog
Queens Park,2014-11-15,Bite ,"3rd RFS for same complaint, mavtel done RFS still Suspended",Dog
Clifton View Rd Anakie,2014-12-17,Death ,German Shepherd,Sheep
"Foster St, South Geelong",2014-12-18,Death,Jac Russell,Guiny Pig
"Tunbury Court, HIGHTON",2014-12-30,Bite,Poodle,Person
"Ocean Mist Court, ST LEONARDS",2014-12-22,Bite,Blue Heeler,Person
Staceys Rd,2014-12-31,Bite ,German Shepherd,Dog
Hamlyn Heights,2014-12-13,Bite,Staffy x,Person
Wallington,2013-01-02,Bruising,Maltese,Child
Geelong ,2013-01-21,Bruising,,Dog
Lara,2013-01-21,Death,Doberman,Kangaroo
Corio,2013-01-24,,Pitbull X,Person
Geelong ,2013-01-29,Broken Skins,Staffy X,Person
Marshall,2013-01-22,Scratches,STABUT,Dog
Portarlington,2013-01-27,,Pitbull X,Dog
LARA,2013-01-05,,Labs,Sheep
Norlane,2013-01-18,,Staffy  ,Cat
Waurn Ponds,2013-01-20,Puncture wounds,,Dog
Highton,2013-01-31,Puncture wounds,Staffy's,Dog
Corio,2013-01-18,,Staffy,Dog/Person
Belmont,2013-01-18,,Staffy X,Dog
Geelong ,2013-01-21,Bruising,Jack Russel,Dog
Wallington,2013-01-05,,,Child
Hamlyn Heights,2013-01-06,,,Person
Herne Hill,2013-01-31,Peirced Skin,Staffy,Person
Bremlea,2013-02-05,,Whippet,Dog
Marshall,2013-01-22,Soft Tissue,STABUT,Dog
Geelong West,2013-02-12,,STA,Child
South geelong,2013-02-19,,STA,Dog
Lara,2013-03-19,Broken Skin,Blue Heeler,person
Whittington,2013-03-22,Broken Skin,Staffy,Person
Corio,2013-03-01,death,Mastif,Wallaby
Grovedale,2013-03-13,Death,,Cat
Geelong West,2013-03-18,Broken Skin,STAX,Person
Waurn Ponds,2013-03-13,Death,LAB,Rooster
Geelong  ,2013-03-08,,DOB,Dog
Grovedale,2013-03-28,,,Rabit
Corio,2013-03-03,,,
Grovedale,2013-03-05,,BUTX,Dog
Lara,2013-03-19,Severe Tearing,HEE,Person
Highton,2013-03-06,Puncture wounds,GSH,Person
Norlane,0203-04-03,,STA,Person
