"Sex of dogs","Reason for bitea","Total %"
"Protect territory","Unsure","Accident","Dog afraid","Dog in pain"
"Male","43","48","49","48","51","47"
"Female","13","19","39","21","49","23"
"Unsure","44","33","12","31","0","30"
"Total n","164","85","84","48","35","416"
"a Determined by researchers based on the respondent's description of events"
