Date,Dog bite admissions to hospital
1989-90,991
1990-91,1150
1991-92,1484
1992-93,1616
1993-94,1875
1994-95,2209
1995-96,2265
1996-97,2664
1997-98,2868
1998-99,3079
1999-00,3416
2000-01,3377
2001-02,3282
2002-03,3297
2003-04,3473
2004-05,3773
2005-06,4133
2006-07,4574
2007-08,4611
2009-10,5837
2010-11,6127
2011-12,6447
